"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"54","James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!",FALSE,72387,NA,2017-01-12 12:23:45,FALSE,NA,"819520238446411777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",17536,FALSE,FALSE,NA,NA
"55","""@zhu_amy3: @realDonaldTrump It's Morning in America again!!!  ☀️☀️☀️Thank you President-Elect Donald Trump!!! So proud of you!!!!"" THANKS!",FALSE,52427,NA,2017-01-12 04:24:52,FALSE,NA,"819399723924803585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",9518,FALSE,FALSE,NA,NA
"56","We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on",FALSE,119743,NA,2017-01-12 04:01:38,FALSE,NA,"819393877174087682",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",28922,FALSE,FALSE,NA,NA
"57","Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?",FALSE,109787,NA,2017-01-11 12:48:52,FALSE,NA,"819164172781060096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",32098,FALSE,FALSE,NA,NA
"58","I win an election easily, a great ""movement"" is verified, and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",FALSE,116983,NA,2017-01-11 12:44:05,FALSE,NA,"819162968592183298",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",29355,FALSE,FALSE,NA,NA
"59","Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS, NO LOANS, NO NOTHING!",FALSE,86502,NA,2017-01-11 12:31:31,FALSE,NA,"819159806489591809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23725,FALSE,FALSE,NA,NA
"60","Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION, UTTER NONSENSE."" Very unfair!",FALSE,66982,NA,2017-01-11 12:13:40,FALSE,NA,"819155311793700865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",17916,FALSE,FALSE,NA,NA
"61","'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews 
https://t.co/d6daCFZHNh",FALSE,45764,NA,2017-01-11 02:00:11,FALSE,NA,"819000924207251456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15409,FALSE,FALSE,NA,NA
"62","FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!",FALSE,96011,NA,2017-01-11 01:19:23,FALSE,NA,"818990655418617856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",30233,FALSE,FALSE,NA,NA
"63","'Trump Helps Lift Small Business Confidence to 12-Yr. High'
https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx",FALSE,43153,NA,2017-01-10 22:30:53,FALSE,NA,"818948254943604736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10572,FALSE,FALSE,NA,NA
